iter	Passed	Remaining
0	8	8414
1	33	16597
2	40	13340
3	50	12489
4	58	11678
5	70	11669
6	80	11403
7	90	11183
8	108	11944
9	116	11582
10	131	11826
11	140	11534
12	149	11381
13	160	11277
14	169	11163
15	179	11051
16	186	10799
17	200	10919
18	208	10774
19	218	10685
20	229	10707
21	240	10708
22	250	10630
23	259	10566
24	268	10480
25	278	10414
26	286	10326
27	299	10413
28	309	10349
29	322	10413
30	333	10434
31	342	10354
32	350	10277
33	359	10201
34	369	10184
35	383	10263
36	391	10195
37	400	10146
38	409	10084
39	420	10089
40	426	9971
41	436	9959
42	446	9929
43	455	9888
44	467	9918
45	473	9815
46	483	9795
47	493	9778
48	505	9802
49	514	9773
50	522	9725
51	532	9716
52	541	9681
53	555	9732
54	565	9711
55	577	9737
56	586	9700
57	602	9779
58	613	9785
59	624	9782
60	635	9786
61	643	9740
62	654	9730
63	662	9687
64	674	9698
65	689	9761
66	702	9786
67	711	9746
68	719	9711
69	731	9720
70	745	9759
71	754	9722
72	763	9691
73	773	9677
74	777	9586
75	781	9498
76	786	9426
77	793	9382
78	801	9346
79	810	9324
80	820	9306
81	827	9267
82	840	9282
83	848	9252
84	857	9226
85	866	9207
86	876	9199
87	884	9168
88	889	9107
89	894	9039
90	897	8968
91	901	8899
92	905	8834
93	909	8763
94	913	8698
95	916	8630
96	920	8566
97	923	8502
98	927	8444
99	931	8384
100	935	8324
101	937	8252
102	941	8195
103	944	8136
104	947	8079
105	951	8025
106	958	8001
107	967	7994
108	973	7954
109	983	7953
110	986	7902
111	990	7850
112	994	7802
113	997	7753
114	1001	7708
115	1005	7660
116	1009	7618
117	1015	7589
118	1022	7569
119	1028	7538
120	1032	7502
121	1037	7463
122	1041	7423
123	1045	7388
124	1050	7351
125	1053	7310
126	1057	7270
127	1062	7235
128	1065	7193
129	1070	7163
130	1074	7125
131	1078	7090
132	1082	7054
133	1085	7018
134	1090	6984
135	1093	6948
136	1098	6921
137	1101	6881
138	1105	6849
139	1110	6820
140	1114	6789
141	1119	6763
142	1122	6729
143	1127	6703
144	1131	6670
145	1136	6645
146	1139	6614
147	1143	6585
148	1148	6558
149	1152	6528
150	1156	6500
151	1159	6468
152	1164	6445
153	1167	6414
154	1172	6391
155	1175	6362
156	1180	6341
157	1184	6312
158	1189	6289
159	1193	6264
160	1201	6260
161	1205	6235
162	1209	6210
163	1212	6182
164	1216	6158
165	1219	6128
166	1223	6104
167	1227	6078
168	1231	6055
169	1234	6029
170	1239	6007
171	1242	5979
172	1246	5958
173	1249	5931
174	1254	5913
175	1258	5894
176	1263	5873
177	1268	5856
178	1270	5828
179	1274	5805
180	1277	5780
181	1281	5758
182	1284	5736
183	1288	5713
184	1291	5690
185	1295	5670
186	1299	5648
187	1304	5633
188	1308	5615
189	1313	5601
190	1318	5585
191	1323	5570
192	1328	5553
193	1332	5534
194	1335	5512
195	1338	5489
196	1341	5466
197	1344	5445
198	1347	5423
199	1350	5403
200	1353	5381
201	1358	5365
202	1361	5343
203	1364	5324
204	1368	5308
205	1372	5290
206	1377	5276
207	1380	5258
208	1384	5239
209	1387	5220
210	1391	5203
211	1395	5186
212	1398	5168
213	1402	5150
214	1405	5132
215	1408	5112
216	1411	5092
217	1414	5074
218	1418	5058
219	1421	5040
220	1425	5025
221	1429	5007
222	1432	4991
223	1435	4972
224	1439	4957
225	1443	4943
226	1446	4926
227	1450	4909
228	1453	4892
229	1456	4877
230	1460	4860
231	1463	4843
232	1466	4827
233	1470	4813
234	1473	4795
235	1476	4781
236	1480	4766
237	1487	4762
238	1492	4753
239	1501	4756
240	1507	4748
241	1516	4750
242	1525	4752
243	1532	4749
244	1536	4733
245	1541	4724
246	1548	4720
247	1560	4731
248	1569	4735
249	1579	4739
250	1588	4740
251	1598	4745
252	1609	4752
253	1621	4762
254	1630	4762
255	1638	4761
256	1647	4761
257	1657	4767
258	1667	4770
259	1677	4773
260	1687	4778
261	1697	4781
262	1707	4785
263	1715	4783
264	1720	4771
265	1723	4755
266	1728	4744
267	1733	4733
268	1737	4722
269	1746	4721
270	1750	4708
271	1753	4694
272	1757	4679
273	1760	4665
274	1764	4651
275	1769	4641
276	1778	4642
277	1788	4645
278	1796	4642
279	1799	4628
280	1803	4615
281	1806	4599
282	1810	4586
283	1813	4571
284	1817	4558
285	1820	4544
286	1823	4531
287	1825	4513
288	1828	4498
289	1832	4485
290	1836	4474
291	1839	4461
292	1842	4447
293	1846	4433
294	1850	4422
295	1853	4407
296	1856	4395
297	1860	4381
298	1863	4370
299	1867	4356
300	1870	4343
301	1873	4330
